No,Nama Kos,Kamar mandi,Kasur,Lemari baju,AC,Parkiran,Wifi ,Harga,Jarak,patokan,alamat,Luas Kamar
1,Kost Rumah Regal Tipe A Pondok Aren Tangerang Selatan 645287RR,1,1,1,1,motor,1,1250000,dekat,STAN,Pondok aren,5
2,Kost Rumah Regal Tipe A Pondok Aren Tangerang Selatan 645287RR,1,1,1,1,motor,1,1450000,dekat,STAN,Kecamatan pondok aren,7
3,Kost Rumah Regal Tipe A Pondok Aren Tangerang Selatan 645287RR,1,1,1,1,motor,1,1000000,dekat,STAN,Kecamatan pondok aren,5
4,Kost Apik Alhijra Tipe E Perkici Bintaro Jaya Tangerang Selatan,0,2,2,2,motor,1,970000,sedang,STAN,Kecamatan Ciputat Timur,5
5,Kost Apik Alhijra Tipe E Perkici Bintaro Jaya Tangerang Selatan,1,1,1,1,motor,1,1825000,sedang,STAN,Kecamatan Ciputat Timur,9
6,Kost Apik Alhijra Tipe B Perkici Bintaro Jaya Tangerang Selatan,1,1,1,1,motor,1,1730000,sedang,STAN,Kecamatan ciputat timur,9
7,Kost Apik Alhijra Tipe C Perkici Bintaro Jaya Tangerang Selatan,0,1,1,1,motor,1,1450000,sedang,STAN,Kecamatan Ciputat Timur,7
8,Kost Apik intan bintaro 5 tangerang selatan,1,1,1,1,motor,2,1145000,sedang,STAN,Kecamatan Ciputat Timur,7
9,Kost Roemah Oma's Pisok Ciputat Tangerang,1,1,1,1,motor,2,1500000,sedang,STAN,Ciputat timur,7
10,Kost graha teduh tipe deluxe ciputat timur tangerang selatan,1,1,1,1,motor,1,1500000,sedang,STAN,Ciputat timur,7
11,Kost ero residence tangerang selatan,1,1,1,1,motor,1,18000000,sedang,STAN,Ciputat timur,7
12,Kost jln pisok ciputat timur tangsel,1,1,1,1,motor,1,1100000,sedang,STAN,Ciputat timur,7
13,Kost Puter Bintaro Jaya Sektor 5 Pondok Aren Tangerang Selatan,1,1,1,1,motor,1,1500000,sedang,STAN,Pondok aren,7
14,Kost Medijavanean Place Pondok Aren Tangerang Selatan,1,1,1,1,motor,1,1200000,sedang,STAN,Pondok aren,7
